sample_index	font	target_char	style_chars	normal_context_vs_content_flat_cos	normal_context_vs_content_token_cos_mean	normal_context_vs_raw_style_mean_flat_cos	normal_context_vs_raw_style_mean_token_cos_mean	trimmed_context_vs_content_flat_cos	trimmed_context_vs_content_token_cos_mean	trimmed_context_vs_raw_style_mean_flat_cos	trimmed_context_vs_raw_style_mean_token_cos_mean	normal_vs_trimmed_flat_cos	normal_vs_trimmed_l1
259323	方正行楷简体	县	间悍婶滤紊队	0.0063111563213169575	-0.004376394674181938	-0.002691539004445076	-0.00379163003526628	0.0055321380496025085	-0.004980186000466347	-0.002847644966095686	-0.0039038187824189663	0.9982471466064453	0.03044535219669342
113951	方正字汇-笨黑体 简	氏	谚说刽召驱爽	0.001918995170854032	-0.0075447410345077515	-0.0016039346810430288	-0.006986313499510288	0.0033398051746189594	-0.00567019684240222	-0.0025208110455423594	-0.00783263985067606	0.9968850612640381	0.034396398812532425
275769	方正隶变简体	要	呆叭代惑盼州	-0.03767005726695061	-0.03694717213511467	0.009098720736801624	0.005001984536647797	-0.03779184818267822	-0.037415530532598495	0.010451915673911572	0.00648115249350667	0.9975680112838745	0.035494424402713776
120958	方正字汇-风铃悠悠 简	贝	淫盅店扇照两	-0.013741372153162956	-0.013621354475617409	-0.011712856590747833	-0.019969996064901352	-0.013860681094229221	-0.014346249401569366	-0.009163389913737774	-0.017463941127061844	0.9979245662689209	0.032842691987752914
178074	方正楼兰体 简	卵	孟窒夕浊窑抠	0.00020025717094540596	-0.011100582778453827	-0.018540503457188606	-0.020478852093219757	0.0009502582252025604	-0.010310795158147812	-0.017942389473319054	-0.019849548116326332	0.9976406693458557	0.032541051506996155
30009	书体坊王羲之楷 简繁	罕	迟矗允曼涝工	-0.034686096012592316	-0.03233471140265465	0.010678993538022041	0.009650010615587234	-0.034048259258270264	-0.03145395964384079	0.01007102895528078	0.009672511368989944	0.9974483251571655	0.034192316234111786
65469	方正兰亭特黑长简体	去	征四惕馏呕盟	0.024914706125855446	0.03879806771874428	-0.0016020301263779402	0.0013285067398101091	0.025622159242630005	0.03918379172682762	-0.002010909141972661	0.000888508977368474	0.9991874694824219	0.024712862446904182
106636	方正字汇-叶凌 简	定	英弹阳岩绅雁	0.0035196878015995026	0.005616920068860054	0.015491783618927002	0.0068769510835409164	0.002531228121370077	0.004532902501523495	0.015572644770145416	0.007329330779612064	0.9977144002914429	0.03104400262236595
42576	方正三宝体 简	阶	弹冷帘即弦箕	0.00368375051766634	-0.0068044960498809814	-0.015190431848168373	-0.014816557988524437	0.003823974635452032	-0.007158209569752216	-0.015472779981791973	-0.01513158529996872	0.998416543006897	0.031766127794981
133102	方正宋黑简体	侧	御缰谚旁尸间	0.015466656535863876	0.016713054850697517	-0.020074617117643356	-0.021048668771982193	0.015227891504764557	0.01721351034939289	-0.018449261784553528	-0.019206196069717407	0.9982494115829468	0.0323844738304615
